,Lieu,Lat,Lon
0,τῆς Ἀνταίου,26.8992835,31.517443
1,εἰς Κυνῶν,28.479495,30.782897
2,ἀπὸ Κερκη,29.442956,31.194872
3,ἀπὸ Κωμα,29.303135,31.168106
4,Ἀνταίου,26.8992835,31.517443
5,Ἀφροδίτης,26.833145,31.416623
6,εἰς τὴν Ἀνταίου,26.8992835,31.517443
7,ὑπὸ τὴν Ἀφροτίδης sic,26.833145,31.416623
8,εἰς τὴν Πανός,26.565878,31.746075
9,ὁρμώμενος μὲν ἀπὸ Ἀλεξα̣ν̣δρείας,31.1982456667,29.9079146667
10,ἐν τῇ αὐτῇ Ἀντινοέων̣,27.8105625,30.8810025
11,ἐπὶ τῆς αὐτῆς Ἀ̣ντ̣ινοέων,27.8105625,30.8810025
12,ἀ̣πὸ κ̣ώμ̣ης Ἀφρ̣οδί̣τ̣ης̣,26.833145,31.416623
13,τῆς αὐτῆς κώμης Ἀφροδίτης,26.833145,31.416623
14,Ἀφροδίτης,26.833145,31.416623
15,Ἀφροδίτης,26.833145,31.416623
16,π̣ερὶ τὴν α̣ὐ̣τ̣ὴ̣ν κώμην Ἀφροδίτης,26.833145,31.416623
17,τῆς αὐτῆς κώμ̣ης Ἀφροδίτης,26.833145,31.416623
18,περὶ τὴν αὐτὴν κώμην Ἀφροδίτης,26.833145,31.416623
19,Ἀφροδίτης τῆς κώμης,26.833145,31.416623
20,τῆς Ἀπόλλωνος,26.937588,31.326702
21,κώμης Ἀφροδίτης,26.833145,31.416623
22,ἐν Κωνστα̣ντ̣ίνου \\π̣ό̣λ̣ει,41.005902,28.9738815
23,ἐν τῇ Ἀν̣τ̣ι̣νοέων?,27.8105625,30.8810025
24,ἐπὶ τὴν Ἀντινοέων,27.8105625,30.8810025
25,εἰς Ἑρμοῦ πόλιν,27.7756214,30.8047827
26,Ἀφ̣ρ̣οδίτη̣ς̣,26.833145,31.416623
27,Ἀλεξανδρείας,31.1982456667,29.9079146667
28,ἀπὸ Ἀφροδίτης,26.833145,31.416623
29,ἀπὸ κώμης Ἀφ̣ροδίτης,26.833145,31.416623
30,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
31,τῆ<ς> μη̣τ̣ρ̣οπ̣όλεως,26.8992835,31.517443
32,κώμης Ἀφροδίτης,26.833145,31.416623
33,εἰς τὴν Λύκων,27.181346,31.1825335
34,κώμης Ἀφροδίτης,26.833145,31.416623
35,ἐν Ἀλεξανδρείᾳ,31.1982456667,29.9079146667
36,μέχρι Ἀλεξανδρείας,31.1982456667,29.9079146667
37,ὑπὲρ κώμης Ἀφρο̣δίτης,26.833145,31.416623
38,κώμης Ἀφροδίτης,26.833145,31.416623
39,ὑπὲρ κώμης Ἀφροδίτης,26.833145,31.416623
40,Ἀνταίου,26.8992835,31.517443
41,ἐ̣ν̣ Ἀφροδίτῃ κώμῃ,26.833145,31.416623
42,ἀπὸ Ἀφρ̣οδίτης̣ κώμης ,26.833145,31.416623
43,ἀπὸ Ἀφροδίτης τῆς αὐτῆς κώμης,26.833145,31.416623
44,τῆς αὐτῆς κώμης Ἀφροδίτης,26.833145,31.416623
45,τῆς κώμης Ἀφροδίτης,26.833145,31.416623
46,Ἀντινόου,27.8105625,30.8810025
47,Ἀντινόου,27.8105625,30.8810025
48,Ἀντινόου,27.8105625,30.8810025
49,ἐπ̣ὶ τῆς̣ Ἀντινοέων πόλεως,27.8105625,30.8810025
50,ἐπὶ τῆς αὐτῆς Ἀν̣τ̣ι̣νοέων πόλεως,27.8105625,30.8810025
51,Ἀνταίου?,26.8992835,31.517443
52,Ἀφροδίτης,26.833145,31.416623
53,ἀπὸ Ἀφροδίτης τῆς κώμης,26.833145,31.416623
54,Τριφί̣ου?,26.513615,31.6636135
55,ἀπὸ Ἀφροδίτ̣η̣ς̣,26.833145,31.416623
56,Φθλα,26.919206,31.40847
57,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
58,τῆς Ἀνταιουπολιτῶν,26.8992835,31.517443
59,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
60,εἰς τὴν Ἀντινόου,27.8105625,30.8810025
61,τὴν Ἀντινοέων,27.8105625,30.8810025
62,ἀπὸ τῆς Λύκων ,27.181346,31.1825335
63,ἐν Ἀντινόου,27.8105625,30.8810025
64,τῇ Λ̣ύκων,27.181346,31.1825335
65,Ἀντ̣ινό̣ου,27.8105625,30.8810025
66,τῆς Ἀφροδίτης κώμης,26.833145,31.416623
67,ἀ̣π̣ὸ Ἀφροδίτης,26.833145,31.416623
68,εἰς τὴν Κυνοπολιτῶν,28.479495,30.782897
69,ἀπὸ Ἀνταίου,26.8992835,31.517443
70,ἐν Ἀντινόου πόλει,27.8105625,30.8810025
71,ἐν Ἀλεξανδρείᾳ,31.1982456667,29.9079146667
72,Ἀνταιοπολιτοῦ?,26.8992835,31.517443
73,τῆς Ἀνταιοπολιτῶν̣,26.8992835,31.517443
74,Ἀλεξανδρ̣είας,31.1982456667,29.9079146667
75,ἀπὸ Ὑψηλῆς,27.146592,31.234697
76,ἀπὸ Ἀφροδίτης,26.833145,31.416623
77,Κ̣νιδί̣ων,36.686188,27.37404
78,ἐπὶ τῆς Μεγάλης Ἑρμο̣πολιτῶν,27.7756214,30.8047827
79,τὰ  Κνίδια,36.686188,27.37404
80,εἰς Ἀφ̣ροτίδην  sic,26.833145,31.416623
81,δήμου Ἐρχιέως,37.9672025,23.9186855
82,Ἀνταίου,26.8992835,31.517443
83,ἀπὸ τῆς Ἀν<τ>αιοπολιτῶν,26.8992835,31.517443
84,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
85,ἐν Φθλα,26.919206,31.40847
86,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
87,τῆς Ἀνταιοπολιτῶν,26.8992835,31.517443
88,τῆς Ἀνταιοπολιτῶν,26.8992835,31.517443
89,εἰς τὴν Ἀνταίου πόλιν,26.8992835,31.517443
90,ⲡⲙⲟⲛⲁⲥⲧⲏⲣⲓⲟⲛ ⲛⲁⲡⲁ ⲑⲱⲙⲁ,26.856142,31.22026
91,ἀπὸ κώμης Ἀφρ̣οδίτης,26.833145,31.416623
